DATE,CBBTCUSD
2021-03-17,59221.23
2021-03-18,57562.46
2021-03-19,58001.29
2021-03-20,58051.01
2021-03-21,57402.03
2021-03-22,54230.21
2021-03-23,54268.81
2021-03-24,52294.65
2021-03-25,51386.2
2021-03-26,55314.11
2021-03-27,55932.18
2021-03-28,55821.59
2021-03-29,57630.72
2021-03-30,58800.0
2021-03-31,58837.71
2021-04-01,58768.84
2021-04-02,59019.55
2021-04-03,56731.0
2021-04-04,58266.39
2021-04-05,59200.0
2021-04-06,58018.31
2021-04-07,55962.11
2021-04-08,58108.65
2021-04-09,58126.14
2021-04-10,60039.35
2021-04-11,60133.37
2021-04-12,59903.04
2021-04-13,63660.94
2021-04-14,63283.43
2021-04-15,63346.93
2021-04-16,61486.08
2021-04-17,60199.33
2021-04-18,56351.2
2021-04-19,55797.39
2021-04-20,56514.9
2021-04-21,53919.48
2021-04-22,51653.27
2021-04-23,51231.69
2021-04-24,50167.5
2021-04-25,49272.06
2021-04-26,53969.71
2021-04-27,55120.81
2021-04-28,54964.11
2021-04-29,53562.87
2021-04-30,57640.17
2021-05-01,57868.94
2021-05-02,56631.64
2021-05-03,57213.29
2021-05-04,53128.68
2021-05-05,57518.01
2021-05-06,56485.77
2021-05-07,57373.88
2021-05-08,59045.17
2021-05-09,58410.34
2021-05-10,55936.77
2021-05-11,56719.0
2021-05-12,49095.57
2021-05-13,49635.45
2021-05-14,49923.92
2021-05-15,46984.74
2021-05-16,46523.31
2021-05-17,43768.74
2021-05-18,42989.8
2021-05-19,37236.61
2021-05-20,40749.78
2021-05-21,37425.0
2021-05-22,37383.34
2021-05-23,34927.4
2021-05-24,38725.06
2021-05-25,38370.0
2021-05-26,39213.41
2021-05-27,38368.17
2021-05-28,35770.0
2021-05-29,34621.64
2021-05-30,35545.27
2021-05-31,37153.71
2021-06-01,36764.58
2021-06-02,37501.36
2021-06-03,39215.09
2021-06-04,36895.48
2021-06-05,35565.0
2021-06-06,35873.42
2021-06-07,33816.09
2021-06-08,33432.26
2021-06-09,37357.02
2021-06-10,36717.51
2021-06-11,37282.15
2021-06-12,35609.66
2021-06-13,39122.03
2021-06-14,40496.92
2021-06-15,40093.93
2021-06-16,38394.4
2021-06-17,38027.63
2021-06-18,35777.39
2021-06-19,35498.24
2021-06-20,35565.82
2021-06-21,31686.69
2021-06-22,32508.26
2021-06-23,33688.35
2021-06-24,34695.34
2021-06-25,31704.87
2021-06-26,32265.95
2021-06-27,34596.99
2021-06-28,34541.8
2021-06-29,35928.75
2021-06-30,34995.83
2021-07-01,33538.49
2021-07-02,33832.49
2021-07-03,34633.93
2021-07-04,35126.9
2021-07-05,33673.22
2021-07-06,34193.9
2021-07-07,33791.0
2021-07-08,32878.23
2021-07-09,33766.87
2021-07-10,33547.19
2021-07-11,34236.21
2021-07-12,33096.86
2021-07-13,32768.54
2021-07-14,32817.18
2021-07-15,31891.09
2021-07-16,31408.78
2021-07-17,31503.78
2021-07-18,31753.02
2021-07-19,30849.9
2021-07-20,29788.61
2021-07-21,32086.04
2021-07-22,32327.95
2021-07-23,33700.0
2021-07-24,34275.43
2021-07-25,35368.57
2021-07-26,37269.12
2021-07-27,39381.82
2021-07-28,40031.56
2021-07-29,40024.94
2021-07-30,42188.95
2021-07-31,41472.42
2021-08-01,39816.76
2021-08-02,39146.69
2021-08-03,38207.27
2021-08-04,39730.0
2021-08-05,40893.75
2021-08-06,42827.76
2021-08-07,44488.87
2021-08-08,43933.26
2021-08-09,46208.5
2021-08-10,45565.76
2021-08-11,45482.95
2021-08-12,44454.37
2021-08-13,47765.41
2021-08-14,47134.61
2021-08-15,47090.0
2021-08-16,45930.71
2021-08-17,44718.51
2021-08-18,44735.2
2021-08-19,46736.74
2021-08-20,49350.99
2021-08-21,48896.95
2021-08-22,49328.47
2021-08-23,49464.66
2021-08-24,47770.4
2021-08-25,48985.05
2021-08-26,46770.6
2021-08-27,49082.04
2021-08-28,48963.41
2021-08-29,48770.78
2021-08-30,46924.16
2021-08-31,47065.73
2021-09-01,48889.19
2021-09-02,49273.33
2021-09-03,49919.31
2021-09-04,49949.07
2021-09-05,51782.76
2021-09-06,52691.2
2021-09-07,46943.82
2021-09-08,46022.48
2021-09-09,46414.58
2021-09-10,44897.75
2021-09-11,45127.48
