Category: All categories

Week,diet: (United States)
2011-06-26,64
2011-07-03,66
2011-07-10,66
2011-07-17,65
2011-07-24,65
2011-07-31,64
2011-08-07,58
2011-08-14,63
2011-08-21,59
2011-08-28,58
2011-09-04,60
2011-09-11,60
2011-09-18,59
2011-09-25,61
2011-10-02,57
2011-10-09,57
2011-10-16,60
2011-10-23,57
2011-10-30,61
2011-11-06,57
2011-11-13,54
2011-11-20,46
2011-11-27,62
2011-12-04,52
2011-12-11,48
2011-12-18,46
2011-12-25,65
2012-01-01,100
2012-01-08,82
2012-01-15,75
2012-01-22,73
2012-01-29,73
2012-02-05,70
2012-02-12,65
2012-02-19,75
2012-02-26,77
2012-03-04,72
2012-03-11,68
2012-03-18,69
2012-03-25,69
2012-04-01,65
2012-04-08,72
2012-04-15,74
2012-04-22,70
2012-04-29,67
2012-05-06,68
2012-05-13,67
2012-05-20,68
2012-05-27,68
2012-06-03,69
2012-06-10,66
2012-06-17,65
2012-06-24,68
2012-07-01,62
2012-07-08,69
2012-07-15,68
2012-07-22,67
2012-07-29,65
2012-08-05,65
2012-08-12,62
2012-08-19,60
2012-08-26,59
2012-09-02,59
2012-09-09,60
2012-09-16,60
2012-09-23,57
2012-09-30,57
2012-10-07,57
2012-10-14,59
2012-10-21,53
2012-10-28,49
2012-11-04,52
2012-11-11,53
2012-11-18,44
2012-11-25,55
2012-12-02,54
2012-12-09,48
2012-12-16,42
2012-12-23,50
2012-12-30,82
2013-01-06,86
2013-01-13,72
2013-01-20,71
2013-01-27,70
2013-02-03,72
2013-02-10,64
2013-02-17,77
2013-02-24,81
2013-03-03,76
2013-03-10,72
2013-03-17,74
2013-03-24,69
2013-03-31,68
2013-04-07,75
2013-04-14,68
2013-04-21,71
2013-04-28,70
2013-05-05,64
2013-05-12,66
2013-05-19,68
2013-05-26,69
2013-06-02,67
2013-06-09,64
2013-06-16,64
2013-06-23,65
2013-06-30,62
2013-07-07,66
2013-07-14,62
2013-07-21,62
2013-07-28,65
2013-08-04,63
2013-08-11,61
2013-08-18,59
2013-08-25,55
2013-09-01,58
2013-09-08,56
2013-09-15,54
2013-09-22,51
2013-09-29,55
2013-10-06,53
2013-10-13,55
2013-10-20,56
2013-10-27,51
2013-11-03,55
2013-11-10,55
2013-11-17,52
2013-11-24,40
2013-12-01,50
2013-12-08,46
2013-12-15,43
2013-12-22,47
2013-12-29,74
2014-01-05,87
2014-01-12,71
2014-01-19,64
2014-01-26,63
2014-02-02,61
2014-02-09,59
2014-02-16,66
2014-02-23,65
2014-03-02,65
2014-03-09,64
2014-03-16,62
2014-03-23,62
2014-03-30,62
2014-04-06,61
2014-04-13,61
2014-04-20,64
2014-04-27,60
2014-05-04,60
2014-05-11,61
2014-05-18,57
2014-05-25,60
2014-06-01,57
2014-06-08,54
2014-06-15,57
2014-06-22,55
2014-06-29,52
2014-07-06,56
2014-07-13,53
2014-07-20,55
2014-07-27,54
2014-08-03,53
2014-08-10,51
2014-08-17,52
2014-08-24,48
2014-08-31,50
2014-09-07,50
2014-09-14,48
2014-09-21,49
2014-09-28,51
2014-10-05,47
2014-10-12,46
2014-10-19,47
2014-10-26,45
2014-11-02,47
2014-11-09,47
2014-11-16,43
2014-11-23,35
2014-11-30,48
2014-12-07,43
2014-12-14,38
2014-12-21,36
2014-12-28,61
2015-01-04,72
2015-01-11,64
2015-01-18,59
2015-01-25,54
2015-02-01,50
2015-02-08,51
2015-02-15,53
2015-02-22,53
2015-03-01,55
2015-03-08,55
2015-03-15,56
2015-03-22,58
2015-03-29,51
2015-04-05,56
2015-04-12,58
2015-04-19,60
2015-04-26,57
2015-05-03,54
2015-05-10,53
2015-05-17,52
2015-05-24,53
2015-05-31,54
2015-06-07,56
2015-06-14,52
2015-06-21,53
2015-06-28,51
2015-07-05,54
2015-07-12,53
2015-07-19,53
2015-07-26,55
2015-08-02,53
2015-08-09,54
2015-08-16,49
2015-08-23,47
2015-08-30,45
2015-09-06,48
2015-09-13,48
2015-09-20,46
2015-09-27,46
2015-10-04,46
2015-10-11,46
2015-10-18,46
2015-10-25,46
2015-11-01,47
2015-11-08,42
2015-11-15,42
2015-11-22,33
2015-11-29,41
2015-12-06,41
2015-12-13,37
2015-12-20,36
2015-12-27,54
2016-01-03,72
2016-01-10,60
2016-01-17,59
2016-01-24,60
2016-01-31,57
2016-02-07,53
2016-02-14,54
2016-02-21,57
2016-02-28,56
2016-03-06,58
2016-03-13,56
2016-03-20,54
2016-03-27,56
2016-04-03,58
2016-04-10,57
2016-04-17,54
2016-04-24,56
2016-05-01,54
2016-05-08,53
2016-05-15,58
2016-05-22,52
2016-05-29,52
2016-06-05,54
2016-06-12,49
2016-06-19,49
