,date,BTC,ETH
0,09/29/2015,236.9,0.68
1,09/30/2015,237.1,0.71
2,10/01/2015,238.3,0.65
3,10/02/2015,238.3,0.66
4,10/03/2015,239.9,0.68
5,10/04/2015,239.9,0.61
6,10/05/2015,240.9,0.61
7,10/06/2015,246.6,0.65
8,10/07/2015,244.0,0.6
9,10/08/2015,242.9,0.62
10,10/09/2015,244.4,0.64
11,10/10/2015,246.1,0.64
12,10/11/2015,249.0,0.6
13,10/12/2015,246.4,0.63
14,10/13/2015,251.0,0.6
15,10/14/2015,253.3,0.5
16,10/15/2015,255.0,0.56
17,10/16/2015,263.4,0.52
18,10/17/2015,272.9,0.52
19,10/18/2015,265.0,0.5
20,10/19/2015,265.2,0.5
21,10/20/2015,271.1,0.44
22,10/21/2015,268.8,0.42
23,10/22/2015,275.8,0.61
24,10/23/2015,278.8,0.56
25,10/24/2015,284.3,0.56
26,10/25/2015,285.0,0.62
27,10/26/2015,287.1,0.71
28,10/27/2015,295.6,0.83
29,10/28/2015,304.1,0.99
30,10/29/2015,316.1,1.12
31,10/30/2015,329.1,1.14
32,10/31/2015,314.9,0.87
33,11/01/2015,329.5,0.99
34,11/02/2015,365.2,0.99
35,11/03/2015,404.1,1.06
36,11/04/2015,410.0,0.8
37,11/05/2015,387.2,0.88
38,11/06/2015,374.1,0.99
39,11/07/2015,384.8,0.93
40,11/08/2015,373.8,1.0
41,11/09/2015,379.5,1.0
42,11/10/2015,337.1,0.9
43,11/11/2015,313.2,0.75
44,11/12/2015,336.5,0.88
45,11/13/2015,338.1,0.9
46,11/14/2015,334.7,0.88
47,11/15/2015,322.9,0.92
48,11/16/2015,332.9,0.93
49,11/17/2015,336.5,1.0
50,11/18/2015,335.5,1.0
51,11/19/2015,326.4,0.94
52,11/20/2015,322.4,0.92
53,11/21/2015,327.0,0.96
54,11/22/2015,323.7,0.97
55,11/23/2015,323.0,0.92
56,11/24/2015,321.0,0.91
57,11/25/2015,329.0,0.87
58,11/26/2015,352.6,0.86
59,11/27/2015,358.2,0.88
60,11/28/2015,357.2,0.91
61,11/29/2015,372.2,0.87
62,11/30/2015,376.9,0.88
63,12/01/2015,362.7,0.87
64,12/02/2015,360.0,0.82
65,12/03/2015,361.8,0.83
66,12/04/2015,364.0,0.84
67,12/05/2015,388.0,0.87
68,12/06/2015,387.5,0.82
69,12/07/2015,394.7,0.79
70,12/08/2015,418.9,0.81
71,12/09/2015,418.4,0.81
72,12/10/2015,415.7,0.84
73,12/11/2015,453.0,0.9
74,12/12/2015,436.9,0.96
75,12/13/2015,433.8,0.92
76,12/14/2015,444.0,0.99
77,12/15/2015,464.3,1.0
78,12/16/2015,454.0,0.8
79,12/17/2015,455.5,0.94
80,12/18/2015,463.2,0.9
81,12/19/2015,461.3,0.89
82,12/20/2015,442.2,1.07
83,12/21/2015,436.8,0.91
84,12/22/2015,433.9,0.88
85,12/23/2015,442.4,0.87
86,12/24/2015,455.7,0.87
87,12/25/2015,455.8,0.88
88,12/26/2015,419.4,0.85
89,12/27/2015,424.7,0.92
90,12/28/2015,421.9,0.87
91,12/29/2015,433.9,0.86
92,12/30/2015,428.0,0.89
93,12/31/2015,430.4,0.95
94,01/01/2016,435.7,0.92
95,01/02/2016,435.4,0.95
96,01/03/2016,431.9,0.96
97,01/04/2016,433.9,0.95
98,01/05/2016,433.3,0.94
99,01/06/2016,430.9,0.95
100,01/07/2016,459.1,0.94
101,01/08/2016,454.4,0.99
102,01/09/2016,450.4,0.99
103,01/10/2016,450.0,1.0
104,01/11/2016,449.2,1.08
105,01/12/2016,434.0,1.22
106,01/13/2016,432.8,1.14
107,01/14/2016,430.0,1.16
108,01/15/2016,357.5,1.2
109,01/16/2016,388.7,1.22
110,01/17/2016,378.5,1.31
111,01/18/2016,384.9,1.47
112,01/19/2016,375.3,1.22
113,01/20/2016,418.5,1.54
114,01/21/2016,409.4,1.54
115,01/22/2016,382.9,1.52
116,01/23/2016,387.5,2.03
117,01/24/2016,403.0,2.1
118,01/25/2016,391.4,2.5
119,01/26/2016,391.5,2.3
120,01/27/2016,394.8,2.42
121,01/28/2016,379.6,2.55
122,01/29/2016,378.7,2.41
123,01/30/2016,378.5,2.44
124,01/31/2016,368.0,2.2
125,02/01/2016,371.3,2.17
126,02/02/2016,372.9,2.45
127,02/03/2016,368.9,2.53
128,02/04/2016,388.0,2.57
129,02/05/2016,384.5,2.56
130,02/06/2016,375.4,2.53
131,02/07/2016,377.5,3.0
132,02/08/2016,371.1,3.16
133,02/09/2016,372.7,3.76
134,02/10/2016,378.4,4.35
135,02/11/2016,378.2,6.38
136,02/12/2016,382.0,5.27
137,02/13/2016,391.0,5.22
138,02/14/2016,406.6,5.2
139,02/15/2016,399.0,5.22
140,02/16/2016,407.4,4.25
141,02/17/2016,415.2,3.86
142,02/18/2016,421.2,4.36
143,02/19/2016,420.7,4.45
144,02/20/2016,437.5,4.37
145,02/21/2016,438.6,4.63
146,02/22/2016,437.5,5.6
147,02/23/2016,420.0,5.7
148,02/24/2016,423.9,6.23
149,02/25/2016,423.5,5.93
150,02/26/2016,430.9,6.03
151,02/27/2016,433.1,6.31
152,02/28/2016,433.7,6.5
153,02/29/2016,436.4,6.35
154,03/01/2016,433.1,7.59
