,crime_type,crime_category,date,address,y_lon,x_lat,neighborhood
196581,traf-vehicular-homicide,murder,2020-12-31 22:45:00,,-104.8464853,39.7694684,central-park
196582,traf-vehicular-homicide,murder,2021-09-08 13:30:00,E 46TH AVE / N BRIGHTON BLVD,-104.9668018,39.7808252,elyria-swansea
196583,traf-vehicular-homicide,murder,2017-07-05 20:16:00,,-104.9597638,39.7582272,whittier
196584,traf-vehicular-homicide,murder,2020-08-28 23:32:00,,-105.0156689,39.7585282,highland
196585,traf-vehicular-homicide,murder,2019-09-14 02:13:00,N COLORADO BLVD / E 12TH AVE,-104.9406629,39.7350914,congress-park
196586,traf-vehicular-homicide,murder,2021-06-24 02:22:00,7100 BLOCK E EVANS AVE,-104.9056326,39.6775124,goldsmith
196587,traf-vehicular-homicide,murder,2019-06-29 00:02:00,,-105.0411686,39.7111867,westwood
196588,traf-vehicular-homicide,murder,2021-06-07 04:16:00,I25 HWYNB / 20TH ST,-105.0043337,39.7609489,highland
196589,traf-vehicular-homicide,murder,2021-09-07 15:09:00,ARKINS CT / 29TH ST,-104.9885154,39.7658557,five-points
196590,traf-vehicular-homicide,murder,2019-05-23 21:34:00,S SHERIDAN BLVD / W ALAMEDA AVE,-105.0532529,39.7113403,westwood
196591,traf-vehicular-homicide,murder,2019-09-08 21:29:00,700 BLOCK N SHERIDAN BLVD,-105.0531584,39.728421,villa-park
196592,traf-vehicular-homicide,murder,2021-07-26 03:05:00,1000 BLOCK W 6TH AVE,-105.0004524,39.7255955,baker
196593,traf-vehicular-homicide,murder,2017-04-19 20:01:00,,-104.865889,39.7756333,central-park
196594,traf-vehicular-homicide,murder,2021-09-02 21:20:00,E 6TH AVE / N DOWNING ST,-104.9729172,39.725577,speer
196595,traf-vehicular-homicide,murder,2021-02-12 21:05:00,,-105.0156976,39.6786817,college-view-south-platte
196596,traf-vehicular-homicide,murder,2019-09-27 04:44:00,PARK AVE / E 17TH AVE,-104.9726885,39.743239,city-park-west
196597,traf-vehicular-homicide,murder,2020-12-29 21:40:00,I25 HWYSB / E YALE AVE,-104.9257585,39.6676194,university-hills
196598,traf-vehicular-homicide,murder,2017-09-17 03:05:00,E 14TH AVE / N FRANKLIN ST,-104.9684684,39.7384076,cheesman-park
196599,traf-vehicular-homicide,murder,2019-08-18 20:34:00,,-104.8099072,39.7766801,montbello
196600,traf-vehicular-homicide,murder,2019-09-01 17:32:00,S. YOSEMITE ST./OFF RAMP FROM SB I225,-104.8849718,39.6439868,hampden-south
196601,traf-vehicular-homicide,murder,2018-05-12 00:25:00,N TOWER RD / E 43RD AVE,-104.7720758,39.7746734,gateway-green-valley-ranch
196602,traf-vehicular-homicide,murder,2020-10-24 01:01:00,2700 BLOCK S HAVANA ST,-104.8663267,39.6646373,hampden
196603,traf-vehicular-homicide,murder,2019-07-21 04:34:00,,-104.9573323,39.7644752,clayton
196604,traf-vehicular-homicide,murder,2019-08-15 01:11:00,5000 BLOCK E COLFAX AVE,-104.9289418,39.7400672,hale
242546,homicide-family,murder,2020-05-18 23:35:00,4700 BLK N VASQUEZ BLVD,-104.9493955,39.7831334,elyria-swansea
242547,homicide-family,murder,2019-08-12 16:14:00,,-104.8962144,39.7344819,east-colfax
242548,homicide-family,murder,2020-02-25 02:19:00,3440 PARK AVEW,-104.9944042,39.7646677,globeville
242549,homicide-family,murder,2019-07-03 13:46:00,4755 N PEARL ST,-104.9803782,39.7828871,globeville
242550,homicide-family,murder,2020-02-22 22:08:00,,-105.0500756,39.6769158,harvey-park
242551,homicide-family,murder,2020-02-09 21:41:00,4935 N CLAY ST,-105.0208036,39.7863227,chaffee-park
242552,homicide-family,murder,2019-07-19 23:48:00,3212 N DEXTER ST,-104.9329256,39.7623534,northeast-park-hill
