NBRHD_NAME,SOCIOECON_SCORE,ACCESSTOCARE_SCORE,MORBIDITY_SCORE,MORTALITY_SCORE,BUILTENV_SCORE,OVERALLEQUITY_SCORE
University Hills,4.0,4.5,2.5,3.0,3.5,3.5
Harvey Park,2.0,2.5,2.0,3.0,1.5,2.20000005
Mar Lee,2.0,1.5,2.5,2.0,3.5,2.29999995
East Colfax,1.5,1.5,3.5,1.0,2.0,1.89999998
Capitol Hill,4.0,2.5,4.0,1.0,4.0,3.0999999
North Capitol Hill,3.0,2.0,2.5,1.0,5.0,2.70000005
Civic Center,4.0,2.5,3.5,5.0,5.0,4.0
CBD,2.5,2.0,4.0,5.0,5.0,3.70000005
Union Station,3.5,3.5,4.0,5.0,5.0,4.19999981
Stapleton,4.5,4.5,4.0,5.0,2.5,4.0999999
Montbello,1.5,1.0,3.0,3.0,3.0,2.29999995
Lowry Field,4.0,4.0,3.0,3.0,3.5,3.5
Gateway - Green Valley Ranch,3.0,1.5,4.0,3.0,2.0,2.70000005
Harvey Park South,2.0,2.0,3.5,3.0,1.5,2.4000001
College View - South Platte,1.0,1.0,2.5,1.0,3.5,1.79999995
City Park West,2.5,3.0,2.0,1.0,4.0,2.5
Sun Valley,1.0,1.0,3.5,2.0,3.0,2.0999999
Valverde,1.5,1.0,2.0,1.0,2.5,1.60000002
Villa Park,1.0,1.0,1.5,2.0,2.5,1.60000002
Five Points,2.5,1.5,3.5,1.0,3.5,2.4000001
Globeville,1.0,1.5,3.0,1.0,1.5,1.60000002
Bear Valley,3.5,3.0,2.5,5.0,2.5,3.29999995
Virginia Village,3.0,3.5,2.0,2.0,2.0,2.5
Windsor,2.0,2.5,2.0,4.0,1.0,2.29999995
Auraria,5.0,3.5,3.0,5.0,4.5,4.19999981
Cory - Merrill,5.0,5.0,3.0,4.0,2.5,3.9000001
Belcaro,5.0,4.5,4.5,5.0,3.5,4.5
Washington Park,5.0,5.0,3.5,5.0,2.5,4.19999981
Washington Park West,5.0,5.0,4.0,4.0,3.0,4.19999981
Speer,4.0,3.5,3.0,2.0,3.5,3.20000005
Cherry Creek,4.5,4.0,3.0,5.0,3.5,4.0
Country Club,5.0,5.0,5.0,4.0,4.5,4.69999981
Congress Park,4.5,4.5,3.0,3.0,2.5,3.5
City Park,3.5,4.0,3.0,5.0,4.0,3.9000001
Marston,4.0,4.0,3.0,5.0,2.0,3.5999999
Fort Logan,3.0,3.0,2.0,4.0,1.5,2.70000005
Washington Virginia Vale,2.5,3.0,3.0,4.0,3.5,3.20000005
Barnum,1.0,2.0,3.0,2.0,2.0,2.0
Barnum West,1.5,1.5,2.5,3.0,1.0,1.89999998
West Colfax,1.5,2.0,1.5,1.0,3.0,1.79999995
West Highland,4.0,4.5,3.5,4.0,3.0,3.79999995
Sloan Lake,2.5,4.0,2.0,3.0,4.0,3.0999999
Berkeley,3.5,4.0,3.0,3.0,4.0,3.5
Regis,2.5,3.5,1.5,2.0,2.5,2.4000001
Chaffee Park,3.0,3.0,2.5,3.0,4.0,3.0999999
Highland,3.5,4.0,3.0,2.0,3.0,3.0999999
Athmar Park,1.0,2.0,3.0,3.0,2.5,2.29999995
Wellshire,5.0,5.0,3.0,5.0,2.5,4.0999999
University,4.0,3.0,4.5,4.0,2.5,3.5999999
Rosedale,4.0,4.0,3.0,4.0,4.5,3.9000001
Cheesman Park,4.0,3.5,3.0,2.0,4.5,3.4000001
Hilltop,5.0,4.5,4.0,5.0,3.0,4.30000019
Montclair,5.0,5.0,3.5,4.0,3.5,4.19999981
Hale,3.5,4.5,2.5,3.0,3.5,3.4000001
North Park Hill,4.0,3.5,3.5,2.0,2.0,3.0
South Park Hill,4.5,5.0,4.5,4.0,2.0,4.0
University Park,3.5,3.5,3.0,4.0,4.5,3.70000005
Platt Park,4.5,4.5,4.5,4.0,3.5,4.19999981
Overland,2.0,2.0,2.0,1.0,1.5,1.70000005
Ruby Hill,2.0,1.5,2.0,2.0,4.0,2.29999995
Kennedy,2.0,1.0,4.0,4.0,3.0,2.79999995
Hampden,3.0,3.0,3.0,4.0,2.5,3.0999999
Southmoor Park,4.0,4.5,3.0,5.0,1.5,3.5999999
Hampden South,4.5,4.0,2.5,4.0,2.5,3.5
Indian Creek,4.5,3.5,3.0,5.0,1.5,3.5
Goldsmith,3.0,2.5,2.5,2.0,3.0,2.5999999
Jefferson Park,2.0,2.0,3.0,3.0,5.0,3.0
Northeast Park Hill,1.5,2.0,3.0,1.0,3.0,2.0999999
Elyria Swansea,1.0,1.0,3.0,3.0,3.0,2.20000005
Baker,3.0,4.0,2.5,2.0,4.0,3.0999999
Clayton,1.0,3.0,3.5,1.0,3.0,2.29999995
Skyland,3.0,3.0,3.5,1.0,2.5,2.5999999
Lincoln Park,1.0,1.5,1.5,1.0,4.0,1.79999995
Whittier,3.0,2.5,4.0,2.0,3.0,2.9000001
Cole,1.5,2.5,3.5,1.0,4.0,2.5
Westwood,1.0,1.5,3.0,2.0,2.5,2.0
Sunnyside,2.0,3.0,2.5,2.0,2.5,2.4000001
DIA,3.5,3.0,3.0,5.0,1.0,3.0999999
