          date  avg_price  total_sold  small_sold  large_sold    xl_sold  total_bags_sold  small_bags_sold  large_bags_sold  xl_bags_sold
0   2016-12-25       1.00   3.029e+07   9.255e+06   1.028e+07  5.420e+05        1.021e+07        7.710e+06        2.417e+06      81101.22
1   2016-12-18       0.96   2.958e+07   9.394e+06   1.034e+07  4.279e+05        9.423e+06        6.970e+06        2.358e+06      94011.78
2   2016-12-11       0.98   3.009e+07   9.010e+06         NaN  4.030e+05        1.071e+07        8.149e+06        2.490e+06      73342.82
3   2016-12-04       1.00   3.162e+07   1.104e+07   9.909e+06  4.280e+05        1.024e+07        7.187e+06        2.989e+06      65350.63
4   2016-11-27       1.21   2.292e+07   7.891e+06   7.337e+06        NaN        7.350e+06        5.691e+06        1.610e+06      48623.28
5   2016-11-20       1.27   2.499e+07         NaN   8.034e+06  4.076e+05        8.017e+06        6.207e+06        1.766e+06      44709.40
6   2016-11-13       1.36   2.408e+07   8.235e+06   7.760e+06  4.775e+05        7.603e+06        5.603e+06        1.957e+06      43104.31
7   2016-11-06       1.44   2.253e+07   7.804e+06         NaN  5.053e+05        7.098e+06        5.245e+06        1.812e+06      40918.74
8   2016-10-30       1.43   2.101e+07   7.100e+06   6.852e+06  4.531e+05        6.604e+06        4.655e+06        1.883e+06      66283.51
9   2016-10-23       1.34   2.475e+07   7.580e+06   8.105e+06  4.524e+05        8.617e+06        6.509e+06        2.017e+06      91798.83
10  2016-10-16       1.30   2.771e+07   8.811e+06         NaN  4.473e+05        9.594e+06        6.934e+06        2.575e+06      84553.37
11  2016-10-09       1.27   2.886e+07   9.553e+06   9.579e+06  4.910e+05        9.235e+06        6.849e+06        2.316e+06      69278.75
12  2016-10-02       1.23   2.962e+07   9.535e+06   9.124e+06  4.901e+05        1.047e+07        7.409e+06        2.981e+06      76030.52
13  2016-09-25       1.22   3.031e+07   1.055e+07   9.256e+06  4.926e+05        1.001e+07        7.440e+06        2.476e+06      91688.30
14  2016-09-18       1.15   3.135e+07   1.134e+07   9.481e+06  4.862e+05        1.004e+07        7.650e+06        2.311e+06      79996.50
15  2016-09-11       1.08   3.413e+07   1.296e+07         NaN  5.122e+05        1.027e+07        8.200e+06        2.016e+06      55304.06
16  2016-09-04       1.04   3.713e+07   1.464e+07   1.108e+07        NaN        1.086e+07        8.555e+06        2.214e+06      93326.07
17  2016-08-28       1.09   3.399e+07   1.256e+07   1.042e+07  5.637e+05        1.045e+07        8.504e+06        1.785e+06     159271.47
18  2016-08-21       1.10   3.359e+07   1.273e+07   9.906e+06  6.097e+05        1.035e+07        8.749e+06        1.446e+06     155008.66
19  2016-08-14       1.12   3.439e+07   1.235e+07         NaN  7.492e+05        1.040e+07        8.480e+06        1.813e+06     111938.56
20  2016-08-07       1.15   3.382e+07   1.220e+07   1.073e+07  7.545e+05        1.014e+07        8.386e+06        1.570e+06     181048.76
21  2016-07-31       1.23   3.120e+07   1.017e+07   1.042e+07  7.839e+05        9.825e+06        8.193e+06        1.432e+06     199967.39
22  2016-07-24       1.20   3.234e+07   1.033e+07   1.080e+07  9.480e+05        1.026e+07        8.316e+06        1.561e+06     387400.22
23  2016-07-17       1.15   3.266e+07   1.032e+07   1.063e+07  9.536e+05        1.075e+07        8.738e+06        1.625e+06     390478.73
24  2016-07-10       1.10   3.557e+07   1.146e+07   1.168e+07  1.266e+06        1.117e+07        8.985e+06        1.728e+06     454343.65
25  2016-07-03       1.06   3.999e+07   1.251e+07   1.332e+07  1.761e+06        1.241e+07        9.968e+06        1.888e+06     551693.65
26  2016-06-26       1.04   3.662e+07   1.219e+07   1.203e+07  1.625e+06        1.077e+07        8.835e+06        1.610e+06     328589.09
27  2016-06-19       1.02   3.849e+07   1.349e+07   1.284e+07  1.643e+06        1.052e+07        8.223e+06        1.975e+06     317018.94
28  2016-06-12       1.04   3.558e+07   1.229e+07   1.153e+07  1.607e+06        1.015e+07        8.040e+06        1.797e+06     311439.99
29  2016-06-05       0.97   4.023e+07   1.381e+07   1.340e+07  1.771e+06        1.125e+07        8.493e+06        2.441e+06     321033.23
30  2016-05-29       0.94   4.002e+07   1.368e+07   1.383e+07        NaN        1.092e+07        8.086e+06        2.658e+06     180120.85
31  2016-05-22       0.93   3.696e+07   1.171e+07   1.298e+07  1.641e+06        1.062e+07        7.836e+06        2.563e+06     224991.99
